chr1	3126484	3126684	0
chr1	3219713	3219924	0
chr1	3331408	3331545	0
chr1	3336268	3336431	0
chr1	3357078	3357359	0
chr1	3391798	3392003	3
chr1	3511058	3511297	1
chr1	3568832	3568964	1
chr1	3675230	3675388	3
chr1	3677120	3677399	0
chr1	3759731	3759885	1
chr1	3989061	3989195	0
chr1	4183383	4183535	0
chr1	4226410	4226625	2
chr1	4256929	4257714	4
chr1	4332454	4332642	14
chr1	4393471	4393604	1
chr1	4492648	4492780	14
chr1	4496199	4497118	242
chr1	4557192	4557403	8
chr1	4559823	4560768	6
chr1	4567376	4567559	14
chr1	4646435	4646590	0
chr1	4647639	4647826	1
chr1	4747909	4748811	140
chr1	4768448	4768780	55
chr1	4769667	4770487	123
chr1	4779613	4780499	132
chr1	4785266	4786251	850
chr1	4791713	4791856	3
chr1	4793752	4793912	4
chr1	4807359	4808515	905
chr1	4815969	4816182	10
chr1	4835100	4835898	7
chr1	4841902	4842093	3
chr1	4848096	4848378	4
chr1	4857264	4858668	1594
chr1	4864190	4864404	9
chr1	4938009	4938202	2
chr1	4963003	4963307	2
chr1	5019411	5020223	75
chr1	5040805	5040926	1
chr1	5082708	5083711	1055
chr1	5109852	5110270	16
chr1	5110365	5114344	270
chr1	5128044	5128249	3
chr1	5233711	5233846	0
chr1	5277021	5277298	1
chr1	5350861	5351166	2
chr1	5588576	5588705	0
chr1	5610376	5610570	0
chr1	5611454	5611629	1
chr1	5674355	5674492	0
chr1	5724520	5724687	0
chr1	5742405	5742544	1
chr1	5777262	5777376	0
chr1	6172458	6172663	6
chr1	6180990	6181104	2
chr1	6187606	6187767	4
chr1	6189385	6189559	4
chr1	6214089	6215546	2204
chr1	6224059	6224374	107
chr1	6226812	6227037	10
chr1	6240945	6241201	12
chr1	6272063	6272525	79
chr1	6351496	6351643	0
chr1	6382639	6383356	135
chr1	6406210	6407170	463
chr1	6415306	6415539	5
chr1	6417274	6417442	11
chr1	6417706	6418503	143
chr1	6441096	6441815	73
chr1	6453379	6454660	158
chr1	6466667	6467693	271
chr1	6469414	6469591	3
chr1	6476765	6476933	10
chr1	6477496	6477735	4
chr1	6486257	6486462	1
chr1	6519132	6519673	107
chr1	6625282	6625500	6
chr1	6785163	6785295	0
chr1	6807709	6807924	6
